Name,fuel_type,Transmission,Ownership,Mileage,Engine,Max Power,Seats,kilometers_driven,price,Year
Kia,Petrol,Automatic,First Owner,19.26699580350531,998,118.36,5,20000,1150000,2022
Toyota,Petrol,Automatic,First Owner,19.26699580350531,998,118.36,5,70000,975000,2014
Hyundai,Diesel,Automatic,First Owner,19.26699580350531,998,118.36,5,120000,509999,2015
Volkswagen,Petrol,Automatic,First Owner,19.26699580350531,998,118.36,5,20000,1044000,2022
Maruti,Petrol,Automatic,First Owner,19.26699580350531,998,118.36,5,120000,400000,2015
Kia,Diesel,Automatic,First Owner,19.26699580350531,998,118.36,5,10000,1900000,2022
Maruti,Petrol,Manual,First Owner,15.37,1196,73.0,7,20687,415000,2015
Datsun,Petrol,Manual,First Owner,15.37,1196,73.0,7,23981,266000,2017
Maruti,Petrol,Manual,First Owner,15.37,1196,73.0,7,66951,381000,2012
Hyundai,Petrol,Manual,First Owner,15.37,1196,73.0,7,85582,260000,2014
Ford,Petrol,Manual,First Owner,15.37,1196,73.0,7,32706,811000,2018
Hyundai,Petrol,Manual,First Owner,15.37,1196,73.0,7,57437,762000,2016
Nissan,Petrol,Manual,First Owner,20.0,999,98.63,5,30000,750000,2021
Renault,Petrol,Manual,First Owner,20.0,999,98.63,5,7100,595000,2021
Maruti,Petrol,Manual,First Owner,20.0,999,98.63,5,80000,320000,2016
Hyundai,Petrol,Manual,First Owner,20.0,999,98.63,5,10000,955000,2023
Tata,Petrol,Manual,First Owner,20.0,999,98.63,5,11949,585000,2018
Mercedes-Benz,Petrol,Manual,First Owner,20.0,999,98.63,5,8000,5600000,2020
Hyundai,Petrol,Manual,First Owner,19.81,1086,68.05,5,59247,398000,2015
Hyundai,Petrol,Manual,First Owner,19.81,1086,68.05,5,71574,223000,2011
Hyundai,Petrol,Manual,First Owner,19.81,1086,68.05,5,44392,420000,2017
Maruti,Petrol,Manual,First Owner,19.81,1086,68.05,5,50750,671000,2017
Hyundai,Petrol,Manual,First Owner,19.81,1086,68.05,5,17794,462000,2014
Maruti,Petrol,Manual,First Owner,19.81,1086,68.05,5,28151,523000,2018
Honda,Petrol,Manual,First Owner,18.7,1199,88.7,5,50000,550000,2015
Audi,Diesel,Manual,First Owner,18.7,1199,88.7,5,50000,1200000,2014
Maruti,Petrol,Manual,First Owner,18.7,1199,88.7,5,40000,350000,2016
Mahindra,Petrol,Manual,First Owner,18.7,1199,88.7,5,10000,1900000,2022
Maruti,Diesel,Manual,First Owner,18.7,1199,88.7,5,60000,790000,2015
Hyundai,Petrol,Manual,First Owner,18.7,1199,88.7,5,60000,765000,2017
Mercedes-Benz,Diesel,Automatic,First Owner,13.0,2143,204.0,5,20000,3300000,2016
Maruti,Petrol,Automatic,First Owner,13.0,2143,204.0,5,35629,425000,2018
Hyundai,Diesel,Automatic,First Owner,13.0,2143,204.0,5,150000,150000,2007
Kia,Petrol,Automatic,First Owner,13.0,2143,204.0,5,10000,1178000,2021
Jeep,Diesel,Automatic,First Owner,13.0,2143,204.0,5,20000,1900000,2020
Kia,Petrol,Automatic,First Owner,13.0,2143,204.0,5,20000,894999,2021
Maruti,Petrol,Automatic,First Owner,23.1,998,67.04,5,29403,453000,2016
Hyundai,Petrol,Automatic,First Owner,23.1,998,67.04,5,11476,596000,2020
Hyundai,Petrol,Automatic,First Owner,23.1,998,67.04,5,91771,488999,2016
